0,0,0,Manly Candy,"I received a pound of Buffalo Bill's hickory pieces as a gift, and enjoyed the size of the pieces and the consistency of the beef's tenderness and flavor. The box happened to come with a couple of samples courtesy of Choo Choo snacks, one of which were a few pieces of the maple pepper beef jerky. After finishing the hickory I went ahead and opened up the maple, and ate it all in maybe 30 seconds. This jerky is so unique and borderline mouthwatering, I actually broke down and bought a pound of it. It's just ever so slightly spicy, and the smell and taste of the maple syrup hits you at the start then lingers after you've finished it. I don't profess to be some sort of food critic, but I figured something this tasty deserved a review with a few big words. So if you like eating healthy and are looking for a nice treat, I really recommend this!",2011-04-03 19:00,22,2,0,5
1,0,1,Taste is OK.......,"The taste is OK. Not too tuff, not too sweet or too hot. It just looks like something I would not eat! I did finish the package but not to sure I will reorder any. Not because of the taste.",2012-05-04 19:00,23,1,0,4
2,0,2,another good product from bb.jerky,"This is my second order of bb.jerky and although I didnt like my first order of the big slab jerky,I am glad I tried the premium style jerky,it has good flavor and a tender chew,once again the shipping was very fast,and even though my first order was an expensive lesson, bb.jerky has a good variety of products to choose from,so choose wisely,start small and try them all.",2011-02-14 19:00,24,1,0,4
3,0,3,If you like jerky this is it!,"This is excellent jerky.  I could eat the whole bag in one setting.  If you have had the good trade show quality jerky and are looking for something like that look no further this is it.  Buy a few bags, kick back, and enjoy your dancing taste buds.....",2010-11-21 19:00,25,3,1,5
4,0,4,Comfort food with a twist,"When I was growing up, one of my favorite meals was a stack of my mom's hot pancakes with lots of maple syrup flowing over them. The Buffalo Bills Premium Maple Pepper Beef Jerky gives me that great maple syrup taste with a twist.  The classic smokey Buffalo Bills Premium jerky paired with the delicious warm sweetness of maple sugar and the robust taste of cracked black pepper all come together to create a wonderful treat. There is a good balance between the maple sugar and black pepper; both are strong flavors but neither overpowers the taste of this jerky. The size of the Maple Pepper Beef Jerky pieces make it easy to enjoy this treat any time. I'm glad the people at Choo Choo R Snacks are quick with the shipping; they make it so easy to enjoy my favorite jerky.",2010-12-07 19:00,26,0,0,5
5,0,5,Unique flavor,This jerky piqued my interest.  Maple pepper? I had to try it and it did not disappoint.  Good flavor and texture neither the pepper or the maple overpowers this jerky.  The shipping was fast too.,2011-10-23 19:00,27,0,1,4
6,0,6,best jerky i have ever put in my mouth,i just wanna say that buffalo bills jerky is the best jerky i have ever eaten in my life and i have eaten alot of jerky moist tender great taste i will be ordering more asap,2011-09-06 19:00,28,0,1,5
7,0,7,Jerky,This jerky tasted bland and like it was 10 years old. I tried to eat it but could'nt stomach it. I guess I'll leave it for emergencies. Even the dogs  did'nt want it<br />Darl Shipley,2011-07-26 19:00,29,1,2,1
8,1,8,Smokin' Hot Wing Rub!,"Kramer's Gourmet Rubs are excellent!  They've gotten my husband to cooking again!  Good on wings, chicken, pork chops, vegetables, you name it!  I'm ordering lots of bottles for my hubby to give at Christmas time to all the people he works with at the office.  My girlfriends are getting some ""Easy Pickin',""  too!  Enjoy!",2012-09-23 19:00,30,0,0,5
9,1,9,Kramer's Wing Rub,"Make no mistake, you must try this delicious Kramer Wing Rub!  I have used all three spices liberally on my chicken and also a wide variety of other meats and vegetables.  It provides a succulent taste without any of the vinegary tastes of many wing rubs or sauces.  I cook mine on the grill and they always provide an excellent dish for any party or sporting event!!",2012-09-20 19:00,31,0,0,5
